NO,KODE,DESA,PROVINSI,KECAMATAN,KABUPATEN,LONG,LAT,offset
1,brg10,DOMPAS,RIAU,BENGKALIS,BUKIT BATU,102.131419,1.309344,"3,3"
2,brg7,RIMBA PANJANG,RIAU,KAMPAR,TAMBANG,101.293794,0.434903,"2,9"
3,brg8,PENYENGAT,RIAU,SIAK,SUNGAI APIT,102.390639,0.738492,"3,29"
4,brg9,PELINTUNG,RIAU,DUMAI,MEDANG KAMPAI,101.669233,1.650186,"3,23"
5,tinggi1,ST-Sungai Tohor,RIAU,KEPULAUAN MERANTI,TEBING TINGGI,102.95194,0.8607,"3,2"
6,tinggi2,LK-Lukun,RIAU,KEPULAUAN MERANTI,TEBING TINGGI,102.79607,0.93376,"3,27"
7,riau1,Riau,RIAU,BENGKALIS,BUKIT BATU,101.737239,1.642342,"3,46"
1,brg1,MUARA MEDAK,SUMATERA SELATAN,MUSI BANYUASIN,BAYUNG LENCIR,103.945008,-1.835108,"3,06"
2,brg2,PULAI GADING,SUMATERA SELATAN,MUSI BANYUASIN,BAYUNG LENCIR,104.061544,-1.761597,"3,33"
3,Lumpur1,AS1R-Riding,SUMATERA SELATAN,OGAN KOMERING ILIR,PANGKALAN LAPAM,105.195812,-3.138084,"1,98"
4,Lumpur2,"PS1-Sebokor, Padang Sugihan",SUMATERA SELATAN,OGAN KOMERING ILIR,AIR SUGIHAN,105.07767,-2.909746,"2,51"
5,muba2,Kepayang,SUMATERA SELATAN,MUSI BANYUASIN,BAYUNG LENCIR,104.194887,-2.185613,"3,31"
6,oki1,Sepucuk Kedaton,SUMATERA SELATAN,OGAN KOMERING ILIR,JEJAWI,104.881764,-3.235031,"3,04"
7,oki2,Simpang Tiga,SUMATERA SELATAN,OGAN KOMERING ILIR,TULUNG SELAPAN,105.356779,-3.266986,"2,45"
8,seleh1,PT1-Pedamaran Timur,SUMATERA SELATAN,OGAN KOMERING ILIR,PEDAMARAN,104.920971,-3.458371,"3,3"
9,seleh2,PS2R-PLG Padang Sugihan,SUMATERA SELATAN,BANYU ASIN,MUARA PADANG,105.143439,-2.676852,"2,14"
1,brg3,SUMBER AGUNG,JAMBI,MUARO JAMBI,SUNGAI GELAM,103.882303,-1.711581,"3,31"
2,brg4,GAMBUT JAYA,JAMBI,MUARO JAMBI,SUNGAI GELAM,103.918008,-1.725856,"3,35"
3,brg5,GEDONG KARYA,JAMBI,MUARO JAMBI,KUMPEH,104.025656,-1.382114,"3,29"
4,brg6,SEPONJEN,JAMBI,MUARO JAMBI,KUMPEH,103.969297,-1.442811,"3,3"
5,jambi1,Jambi,JAMBI,TANJUNG JABUNG TIMUR,MENDAHARA ULU,103.589975,-1.238478,"2,64"
1,brg17,TEBANG KACANG,KALIMANTAN BARAT,KUBU RAYA,SUNGAI RAYA,109.478175,-0.195211,"3,33"
2,brg18,SUNGAI ASAM 1,KALIMANTAN BARAT,KUBU RAYA,SUNGAI RAYA,109.7675,-0.279844,"3,33"
3,brg19,SUNGAI ASAM 2,KALIMANTAN BARAT,KUBU RAYA,SUNGAI RAYA,109.550364,-0.299692,"3,33"
4,brg20,RASAU JAYA I,KALIMANTAN BARAT,KUBU RAYA,RASAU JAYA,109.412164,-0.241208,"3,33"
5,kalbar1,Kalbar,KALIMANTAN BARAT,KUBU RAYA,SUNGAI RAYA,109.394853,-0.210225,"3,55"
1,brg11,ANJIR KALAMPAN,KALIMANTAN TENGAH,KAPUAS,KAPUAS BARAT,114.312758,-2.819425,"2,63"
2,brg12,KATUNJUNG,KALIMANTAN TENGAH,KAPUAS,MANTANGAI,114.463681,-2.238833,"3,1"
3,brg13,KATUNJUNG,KALIMANTAN TENGAH,KAPUAS,MANTANGAI,114.361617,-2.231028,"3,35"
4,brg14,KATUNJUNG,KALIMANTAN TENGAH,KAPUAS,MANTANGAI,114.428739,-2.306242,"3,33"
5,brg15,SEI AHAS,KALIMANTAN TENGAH,KAPUAS,MANTANGAI,114.370567,-2.378753,"3,32"
6,kecil1,PM-Paduran Mulya,KALIMANTAN TENGAH,PULANG PISAU,SEBANGAU KUALA,113.805611,-2.856089,"1,8"
7,kecil2,BT-Buntoi,KALIMANTAN TENGAH,PULANG PISAU,KAHAYAN HILIR,114.194167,-2.838358,"2,29"
8,batok1,SJ-Sebangau Jaya,KALIMANTAN TENGAH,PULANG PISAU,SEBANGAU KUALA,113.837808,-2.886931,"1,5"
9,batok2,M1-Mantaren1,KALIMANTAN TENGAH,PULANG PISAU,KAHAYAN HILIR,114.177978,-2.750653,"2,1"
10,kalteng1,Kalteng,KALIMANTAN TENGAH,PULANG PISAU,JABIREN RAYA,114.058131,-2.319728,"2,5"
1,brg16,PULAU DAMAR,KALIMANTAN SELATAN,HULU SUNGAI UTARA,BANJANG,115.3686,-2.440497,"3,34"
